目录,题目类型,大题题干,难易度,,,,,,,
/中华文化通识教程 第七期/8.5 鉴古知今 面向未来,单选题,宋代是____转向疑古的转折点，在清代成为高峰，清代是疑古转向_____的转折点，在当今时代将迈向高峰。,易,信古 释古,,,,,,
/中华文化通识教程 第七期/13.1 匠人匠心——中华民间传统工艺精神,单选题,王者匠心，真正的创新源于对_____________的探索,易,人性,,,,,,
/中华文化通识教程 第七期/10.3 真情与真趣——鱼跃鸢飞的世界,单选题,被誉为“诗中有画，诗中有乐，诗中有禅”的唐代诗人是_________,易,王维,,,,,,
/中华文化通识教程 第七期/10.7 水墨中华——中国古典书画精神,单选题,董其昌提出“南北宗论”一种是由李思训所开创的北派，北派金碧辉煌，主要是要靠颜色来作画；另外一点是逼真，靠刻苦以及功夫功力来完成绘画。另一种是以（    ）所开创的南宗，认为绘画最重要的功能，不是为了完成某种任务，不是为皇家服务，而是为自我，寄托自己的情感，寄托自己的诗意，寄托自己对人生的感悟。答案:王维书画名家刘墨老师的《水墨中华，中国古典书画精神》大家可以关注。这是一位学者型画家，美术史硕士，文艺学博士，历史学博后。图为我们在他家中拍摄“水墨中华”。他家在北京昌平，三层楼，层层叠叠四壁尽是书。,易,王维,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,美国物理学家卡普拉称：“（   ）提供了最深刻并且最完美的生态智能。”——《大学人文教程》P25,易,道家,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,中国佛学的特质在（  ）——P37,易,禅,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“残缺美”“断臂之美”的代表作：_________________,易,米洛的维纳斯,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,以《十日谈》批判宗教守旧思想，主张“幸福在人间”的作家是_______________,易,薄伽丘,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,拉斐尔的杰作___________以平衡的画面将古希腊的智者先贤平均分布在柏拉图和亚里士多德的两侧，画中人物优雅而深沉，表达了作者对古希腊精神的肯定和神往。P51,易,《雅典学院》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,以下作品哪一篇是李斯的代表作？()《大学人文教程》P95,易,《谏逐客书》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,(   )展示了大一统之际，对各家思想都进行了改造、发展与摒弃的努力。提出“一则治，异则乱；一则安，异则危。”答案:《吕氏春秋》,易,《吕氏春秋》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,《饮冰室合集》是维新派领袖___________的代表作。我们曾经读过他脍炙人口的名篇《少年中国说》。答案:梁启超【拓展】《少年中国说》节选：故今日之责任，不在他人，而全在我少年。少年智则国智，少年富则国富；少年强则国强，少年独立则国独立；少年自由则国自由，少年进步则国进步；少年胜于欧洲则国胜于欧洲，少年雄于地球则国雄于地球。红日初升，其道大光。河出伏流，一泻汪洋。潜龙腾渊，鳞爪飞扬。乳虎啸谷，百兽震惶。鹰隼试翼，风尘吸张。奇花初胎，矞矞皇皇。干将发硎，有作其芒。天戴其苍，地履其黄。纵有千古，横有八荒。前途似海，来日方长。美哉我少年中国，与天不老！壮哉我中国少年，与国无疆！【小注】隼sǔn:猛禽。矞yù矞皇皇:繁荣昌盛，富丽堂皇。干将：古代铸剑师的名字，铸成名剑“干将”。发硎xíng:刀刃新磨。硎，磨刀石。干将在磨刀石上磨剑刃。,易,梁启超,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,_______为正史第一部，同时也是一部优秀的文学著作，在中国文学史上有重要地位，被鲁迅誉为“史家之绝唱，无韵之《离骚》”《大学人文语文》p133,易,《史记》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,能用“麻沸散”把病人麻醉后施行剖腹治疗手术，世界医学史上最早应用全身麻醉手术的外科医生是_________《大学人文语文》p-140,易,华佗,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,（）是一部体例完善的编年体通史。北宋司马光主编。书名是宋神宗所赐，意为“鉴于往事，有资于治道”p143,易,《资治通鉴》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,被称为“古代世界大战”的是______________,易,伯罗奔尼撒战争,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,说明：考试针对湖工大学分班，请湖工大有学分要求的同学参加。   其他学校的同学可以自主参加。开卷，总分50，及格标准30分。   以下为考试正文：出新意于_______之中，寄妙理于豪放之外。(苏轼),易,法度,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,《古诗十九首》最早见于_____________《大学人文语文》p-169,易,《文选》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,________的诗风醇厚自然、平淡质朴，是魏晋风度的杰出代表，对后世诗歌产生了重大影响。而他“不为五斗米折腰”的气节，更是哺育了一代又一代的诗人，成为士大夫的精神楷模。《大学人文语文》p172,易,陶渊明,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,《蜀相》是杜甫歌颂他的偶像________的诗篇。杜甫一生的理想就是“致君尧舜上，再使风俗淳”，做贤臣，遇明君，造福天下苍生。他是一代“诗史”，也是真正的醇儒，他的诗歌充满着忧国忧民的忧患意识与热爱天地万物的仁爱精神，是儒家积极入世精神的艺术表现。        蜀相丞相祠堂何处寻，锦官城外柏森森。映阶碧草自春色，隔叶黄鹂空好音。三顾频烦天下计，两朝开济老臣心。出师未捷身先死，长使英雄泪满襟。【小注】首联一问一答，形成浓重的感情氛围，笼罩全篇。颔联勾勒出无限美妙的武侯祠春意盎然的景象，却以“自”，“空”互文表现出浓厚的生命之思，伤逝之感。颈联高度凝练地概括了诸葛亮的一生。尾联咏叹了诸葛亮病死军中功业未成的历史不幸，亦以“英雄”意象开阔地指向千古的仁人志士包括他自己的理想与悲歌：为国为民，大智大勇，许身社稷，志在匡国。,易,诸葛亮,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“梅妻鹤子”的宋代隐士林逋，有一句梅花诗，千古传诵，被誉为咏梅诗歌的千古绝唱。_________,易,疏影横斜水清浅，暗香浮动月黄昏。,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,《吉檀迦利》是“亚洲第一诗人”_______诗歌创作的高峰，也是最能代表他的思想观念和艺术风格的作品，哲思深刻，文字精雅，气度雍容，作者籍此获得诺贝尔文学奖。《吉檀迦利》可译为“献歌”，是向神敬献的歌，是“生命之歌”，作者以轻快、欢畅的笔调歌唱生命的枯荣、现实生活的欢乐和悲哀，表达了对祖国前途的关怀。194,易,泰戈尔,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,南朝刘义庆的著作_________“记言则玄远冷峻，记行则高简瑰奇。”既是文学宝典，又具史传特性，广泛反映了汉末魏晋之际的社会风气，故而在文化方面极富价值。197,易,《世说新语》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,系列山水游记“永州八记”是_____________的代表作。,易,柳宗元,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,_________的《瓦尔登湖》，详细记载了梭罗在瓦尔登湖的生涯，记述了自己简单朴实的生活场景，展示了瓦尔登湖优美宜人的奇特风光，也表达了工业文明和喧嚣社会挤压人类、侵蚀人性的忧虑。他在瓦尔登湖畔追求孤独，也在追求轻松愉悦，追求更深刻的思考和探索。《瓦尔登湖》被认为是一本寂寞、恬静、智慧的书。206,易,亨利·梭罗,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,现代奥林匹克运动会上开幕式上点燃“圣火”仪式渊源自古希腊神话中的英雄_______________235,易,普罗米修斯,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“凡有井水饮处，即能歌柳词！”柳词是谁的词?,易,柳永,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“东厢坦腹”的主人公是____________。,易,王羲之,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,_______是满族妇女传统服装和中国南方服饰以及西洋晚礼服的融合。它充分体现了东方女性的体态美和曲线美，同时有一种端庄、稳重、雅致的风格。含蓄细腻，活泼又不流于张狂，优雅大方而合于天性。再加上色彩与款式的变化，一改世人对中国服装单调保守的印象。,易,旗袍,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,唐代有一个大书法家，号称“草圣”。贺知章《饮中八仙歌》说他：“__________三杯草圣传，脱帽漏顶王公前，挥毫落纸如云烟。”他好饮酒，《新唐书》记载他：“既醒目视，以为神，不可复得也。”酒使他的生命力与创造力达到了炽热的高潮，所有的束缚全部解脱了。,易,张旭,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,以下《西南联大》纪录片插曲，歌词化用自（   ）西南联大-无限生机在我身.mp4《诗经·小雅·采薇》昔我往矣，   当初离家从军去杨柳依依，   杨柳依依轻摇曳今我来思，   如今返乡解甲归雨雪霏霏。   雪花飘飘飞满野小注：对《诗经》感兴趣的同学，我们推荐以下优质普及版本，可选一种《诗经译注》，周振甫，中华书局《诗经译注》，程俊英，上海古籍《诗经选》，余冠英，中华书局,易,《诗经·小雅·采薇》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,品读以下诗篇《睡起》，根据诗风，判断诗人（  ）睡起柿叶铺庭红颗秋，熏炉沉水度衣篝。松风梦与故人遇，同驾飞鸿跨九州。【小注】沉水，指沉水香，一种香木。衣篝，罩在香炉上的香笼，可给衣冠熏上香味。元丰四年（1081）一个晴好的日子，在沉水香轻烟的熏笼之下，诗人不知不觉进入梦乡，松林晓风之间，遇见了思念的故人，一同跨上鸿雁，飞越九州。忽然树枝摇落几片柿叶，猛地醒来，仍是飘叶落满的庭院与果实映红的深秋。人生如诗亦如梦。生活的态度，既要“入梦”般投入，如鸿雁翱翔九州、大展宏图；又要“睡起”般清明，如鲲鹏垂天，渺观人间沟壑坷坎、荣华晏乐。春有百花秋有月，夏有凉风冬有雪，梦中清醒醒似梦，四季都是好时节。作者黄庭坚（1045——1105），字鲁直，号山谷道人，洪州分宁（今江西省九江市修水县）人，北宋著名文学家、书法家，为“苏门四学士”之一，与苏轼齐名，世称“苏黄”。黄庭坚作诗，常从细微入手，感事抒怀，再现了宋代文人士大夫的精神世界。他的诗词法度谨严，但无斧齿凿痕，清新自然，堪称宋诗的典范。黄庭坚提倡以学问为诗，他出入经史子集、道藏佛典之间，诗词充满了道心禅意，达到了“不烦绳削而自合”的境界。,易,黄庭坚,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,这是（   ）的诗。口腹贪饕岂有穷，咽喉一过总成空。何如惜福留余地，养得清虚乐在中。——苏东坡生活在喧嚣的现代社会里，视野所及的满是诱惑。很多人因为物质欲望无法满足，从而产生各种负面心理，它们象浓雾一样，遮蔽了我们的内心。这首诗教我们如何面对贪欲。常言道：苦莫大于多欲，富莫大于知足，贫莫大于贪婪。我们在爱惜自己生命的同时，也要善待动物，爱护环境，节制一己私欲，与自然、人群和谐相处，唯有保持清虚，才高贵，才有尊严。,易,苏东坡,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“一饭三吐脯，一沐三握发”的典故最早源于________________。（洗头发的时候，总是多次停下来，把自己已经散的头发重新握起来接待宾客。有时候吃一顿饭，也要多次停下来接待宾客，比喻礼贤下士。）,易,周公,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,这幅画题为（    ）是北宋王希孟18岁所作。中国十大传世名画之一。陈丹青曾这样评价王希孟：“通常成年的老熟的大师，喜欢做减法，也就是所谓取舍和概括，可十八岁英年的王希孟呢，他是忙着做加法。人在十八岁年纪，才会有这股子雄心和细心，一点不乱，不枝蔓，不繁杂，通篇贵气，清秀逼人，那就是他的天赋了。”《千里江山图》属比肩《清明上河图》的青绿山水画巅峰之作。陈丹青谈《千里江山图》:https://mp.weixin.qq.com/s/cN32Q8AjELC_GlkoXlQvhQ 并完美高清图,易,千里江山图,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,这首词的作者是（  ）曾和他一样潇洒的东晋高士是宰相（  ）定风波题记:三月七日，沙湖道中遇雨。雨具先去，同行皆狼狈，余独不觉，已而遂晴，故作此。莫听穿林打叶声，何妨吟啸且徐行。竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。料峭春风吹酒醒，微冷，山头斜照却相迎。回首向来萧瑟处，归去，也无风雨也无晴。本篇写于苏东坡贬居黄州时期。上片写雨景，下片写雨后初睛，贯穿全词的就是词序中所说的“余独不觉”。这种“不觉”前人也有过，那就是东晋高士谢安，《晋书》中记载他临事不惧的潇洒与镇定。苏轼的“不觉”表达了他雨也不怕，晴也不喜，超越荣辱得失的人生了悟，那种“任天而动”的“坦荡之怀”。在黄州饱尝人生“风雨”的痛苦折磨之中，他内省，他思索，最终以这种思维方式淡化和消解了他所面临的挫折与痛苦，形成洒脱飘逸的气度，笑对人间厄运的旷达心怀。,易,苏东坡   谢安,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“鲲鹏展翅”的典故出自诸子百家之（    ）鲲鹏展翅北冥有鱼，其名为鲲。鲲之大，不知其几千里也；化而为鸟，其名为鹏。鹏之背，不知其几千里也；怒而飞，其翼若垂天之云。是鸟也，海运则将徙于南冥，——南冥者，天池也。《齐谐》者，志怪者也。《谐》之言曰：“鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里，去以六月息者也。”……且夫水之积也不厚，则其负大舟也无力。覆杯水于坳堂之上，则芥为之舟，置杯焉则胶，水浅而舟大也。风之积也不厚，则其负大翼也无力。故九万里，则风斯在下矣，而后乃今培风；背负青天，而莫之夭阏者，而后乃今将图南。——选自《庄子·逍遥游》【小注】此段为《庄子·逍遥游》的首段，充分展示了庄子哲学思维开阔、想象丰富、气象万千、境界雄浑、行文恣肆的特点，展现了生命优游自在，无限开阔、无挂无碍的境界，那是真正“审美的生存”与“诗意的栖居”，那是“逍遥”。在天高海阔的浩瀚背景中，一只大鲲化为巨鹏，展开它那遮天蔽日的巨大翅膀，水击三千里，扶摇直上九万里，由北海向遥远的南海飞迁，由此形成的形象、意象和境界是何等令人心胸开阔、意气昂奋啊！大鹏能够壮飞、远徙，不仅仅在于它有“图南”的远大志向，还在于它凭借了羽翼下厚积着强劲风力。“风之积也不厚，则其负大翼也无力”这就是“积厚”的重要意义和普遍价值。武大的鲲鹏广场，雪季与樱花季最美,易,庄子,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,以下话语出自诸子中的哪一位之口？（  ）居天下之广居，立天下之正位，行天下之大道。得志，与民由之；不得志，独行其道。富贵不能淫，贫贱不能移，威武不能屈，此之谓大丈夫。自反而缩，虽千万人，吾往矣！【今译】1.大丈夫，应该居住在天下最广大的住宅（仁）里，站在天下最正确的位置（礼）上，走在天下最宽广的大道（义）上。他得志的时候，与老百姓一起，沿着大道前进。他不得志的时候，也会独自坚持原则。富贵不能腐蚀他的心，贫贱不能改变他的志，威武不能扭曲他的节，这样的人才称得上男子汉大丈夫。（前文：别人问作者——公孙衍、张仪这些策士是不是大丈夫？你看他们“一怒而诸侯惧，安居而天下熄”！！ 哪料到作者鄙视地大骂这些气势煊赫、纵横捭阖的说客不过是行“妾妇之道”，不过是“术”，不过是为自己一己之名利而奔波，算啥？真正的大丈夫，必是心怀天下的，醇正的儒家讲“感通”，是不可能麻木于天下黎民苍生的苦的，是以天下为己任的。）2.反躬自省，觉得这件事值得做，就是面对千军万马，我也要一往直前！答案提示：1.《二程遗书》片段今译：文如其人：孔子如同天地，高明而博厚；颜回如同和风祥云（孔子说他，不迁怒，不贰过）；而孟子，如同高山峻岭，气象庄严。只要观察他们的言语，就可以明白了。2.孟子这个人，极可爱——“见大人，则藐之”，那平交王侯的气度风神，千古而下，熠熠生辉！ 孟子非常注重“养气”——“我善养我浩然之气”。 请问，您未来见大人物、大领导，能既保持礼敬谦虚，又有平交王侯的气度么？,易,孟子,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,概括以下《孟子》选文（     ）孟子谓万章曰:“一乡之善士斯友一乡之善士，一国之善士斯友一国之善土，天下之善士斯友天下之善士。以友天下之善士为未足，又尚论古之人。颂其诗，读其书，不知其人，可乎?是以论其世也。是尚友也。”(《孟子-万章》下)【今译】孟子对万章说：“生活在一乡的优秀人物要和那一乡的优秀人物为友，一国的优秀人物要和那一国的优秀人物为友，生活在天下的优秀人物要和天下的优秀人物为友，和天下的优秀人物为友还不够，更要上溯历史，评论古代的人物，咏诵他们的诗，读他们的书，不了解他们的为人怎么可以呢？所以要讨论他们所处的时代，与历史上的古人做朋友。”小注：与古代优秀的人物为友，可以得到很大的提升。与古人为友的方法，就是诵其诗，读其书，而读古人的书，就必须“知人论世”，对作者的生平和思想有所了解，对其所处的时代有一定的认识。《孟子》最好的普及版注本 依然是中华书局杨伯峻版,易,知人论世,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,陈子昂与“四杰”等对“______“的追求，使大唐诗歌走向振奋，成为盛唐诗歌的序曲。,易,风骨,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,陆游的《卜算子·咏梅》中，“以扛鼎之力，振起全篇”的句子是:驿外断桥边，寂寞开无主。已是黄昏独自愁，更著风和雨。无意苦争春，一任群芳妒。零落成泥碾作尘，只有香如故。,易,只有香如故,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“发愤著书”是谁提出来的？（   ）盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》；孙子膑脚，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》；《诗》三百篇，大底圣贤发愤之所为作也。——司马迁·《报任安书》【译文】文王被拘禁时推演了《周易》；孔子遭困苦时编订了《春秋》；屈原被流放时创作了《离骚》；左丘明失明后写出了《国语》；孙膑被砍去了膝盖骨，编著了《兵法》；吕不韦被贬放到蜀地，有《吕氏春秋》流传于世；韩非被囚禁在秦国，写下了《说难》《孤愤》；《诗经》三百篇，也多是有才能的人的发愤之作。【小注】古代那些有成就的人，他们痛苦的创作经历激励了司马迁，使他在经历残酷的迫害后，鞭策自己发愤著书，为实现理想顽强的活下去。《报任安书》气势雄阔，作者胸怀坦荡，令人感佩。“文章憎明达”，许多名著的作者，遭受了惊人的苦难。对生命的体验，整个生命的历程亦得以纵深。赋予作品至深至厚的感染力。《红楼梦》作者：“满纸荒唐言，一把辛酸泪，都云作者痴，谁解其中味！”《古文观止》的选者，眼界开阔，眼光高超，所选均为传世佳作，这些文章不仅文辞优美，文法谨严，而且能够展现当时的杰出思想，取一编在手，纳千载在于心。,易,司马迁,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/1.1 原典：有无、虚实之辩,单选题,全球出版发行量第二，仅次于《圣经》的经典是_______。,易,《老子》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/2.2 道法自然：上善若水 赤子之心,单选题,含德之厚，比于______。（《老子·五十五章》）,易,赤子,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/2.5 和光同尘 道在尘俗,单选题,“不尚贤”是哪一家明确提出的主张_______,易,道家,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/3.1 仁爱：贴切自然，向内使劲,单选题,孔子思想体系的核心概念是“仁”，“仁”的根本是_______,易,孝悌,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/3.3 强哉矫——和而不流 中正不倚,单选题,_____也者，天下之大本也；_____也者，天下之达道也。（《中庸》）,易,中、和,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/4.1 礼乐文化的源头——取法自然 缘情制礼,单选题,当人类社会诞生的时候，有了衣食住行。儒家所产生的礼，是_______，其精神实质在于把生命的敬重具体化。,易,取法自然,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/4.2 人生涵盖：敦美人伦、慎终追远,单选题,古代男子满_____岁行“冠礼”。,易,二十,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/4.3 社会涵盖：敬天爱人 谐和万方,单选题,下列哪一种礼含有儒家“慎终追远、民德归厚”的社会价值。,易,凶礼,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.1 文明的脚步——史前文明与史官来源,单选题,史官文化的形成，与史官的设置有密切的关系。传说史官设置于______时期，创造汉字的始祖就是_____,易,黄帝 仓颉,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.2 微言大义，治世青史——《左传》选读,单选题,孔子整理的_________________是我国第一部编年体史书。,易,春秋,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.3 学兼天人，会通古今——《史记》选读,单选题,西汉时期司马迁私人撰述的史书，最早称为______，是中国第一部______，是二十四史之首，也是中国第一部传记体文学总集。被鲁迅先生赞叹为“史家之绝唱，无韵之离骚。”,易,《太史公书》 纪传体通史,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.5 鉴古知今 面向未来,单选题,宋代是____转向疑古的转折点，在清代成为高峰，清代是疑古转向_____的转折点，在当今时代将迈向高峰。,易,信古 释古,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/13.1 匠人匠心——中华民间传统工艺精神,单选题,王者匠心，真正的创新源于对_____________的探索,易,人性,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/10.3 真情与真趣——鱼跃鸢飞的世界,单选题,被誉为“诗中有画，诗中有乐，诗中有禅”的唐代诗人是_________,易,王维,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/10.7 水墨中华——中国古典书画精神,单选题,董其昌提出“南北宗论”一种是由李思训所开创的北派，北派金碧辉煌，主要是要靠颜色来作画；另外一点是逼真，靠刻苦以及功夫功力来完成绘画。另一种是以（    ）所开创的南宗，认为绘画最重要的功能，不是为了完成某种任务，不是为皇家服务，而是为自我，寄托自己的情感，寄托自己的诗意，寄托自己对人生的感悟。答案:王维书画名家刘墨老师的《水墨中华，中国古典书画精神》刚刚上线了。这是一位学者型画家，美术史硕士，文艺学博士，历史学博后。,易,王维,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,美国物理学家卡普拉称：“（   ）提供了最深刻并且最完美的生态智能。”——《大学人文教程》P25,易,道家,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,中国佛学的特质在（  ）——P37,易,禅,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,“残缺美”“断臂之美”的代表作：_________________,易,米洛的维纳斯,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,以《十日谈》批判宗教守旧思想，主张“幸福在人间”的作家是_______________,易,薄伽丘,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,拉斐尔的杰作___________以平衡的画面将古希腊的智者先贤平均分布在柏拉图和亚里士多德的两侧，画中人物优雅而深沉，表达了作者对古希腊精神的肯定和神往。P51,易,《雅典学院》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,以下作品哪一篇是李斯的代表作？()《大学人文教程》P95,易,《谏逐客书》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,(   )展示了大一统之际，对各家思想都进行了改造、发展与摒弃的努力。提出“一则治，异则乱；一则安，异则危。”答案:《吕氏春秋》,易,《吕氏春秋》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,《饮冰室合集》是维新派领袖___________的代表作。我们曾经读过他脍炙人口的名篇《少年中国说》。答案:梁启超【拓展】《少年中国说》节选：故今日之责任，不在他人，而全在我少年。少年智则国智，少年富则国富；少年强则国强，少年独立则国独立；少年自由则国自由，少年进步则国进步；少年胜于欧洲则国胜于欧洲，少年雄于地球则国雄于地球。红日初升，其道大光。河出伏流，一泻汪洋。潜龙腾渊，鳞爪飞扬。乳虎啸谷，百兽震惶。鹰隼试翼，风尘吸张。奇花初胎，矞矞皇皇。干将发硎，有作其芒。天戴其苍，地履其黄。纵有千古，横有八荒。前途似海，来日方长。美哉我少年中国，与天不老！壮哉我中国少年，与国无疆！【小注】隼sǔn:猛禽。矞yù矞皇皇:繁荣昌盛，富丽堂皇。干将：古代铸剑师的名字，铸成名剑“干将”。发硎xíng:刀刃新磨。硎，磨刀石。干将在磨刀石上磨剑刃。,易,梁启超,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,_______为正史第一部，同时也是一部优秀的文学著作，在中国文学史上有重要地位，被鲁迅誉为“史家之绝唱，无韵之《离骚》”《大学人文语文》p133,易,《史记》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,能用“麻沸散”把病人麻醉后施行剖腹治疗手术，世界医学史上最早应用全身麻醉手术的外科医生是_________《大学人文语文》p-140,易,华佗,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,（）是一部体例完善的编年体通史。北宋司马光主编。书名是宋神宗所赐，意为“鉴于往事，有资于治道”p143,易,《资治通鉴》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,被称为“古代世界大战”的是______________,易,伯罗奔尼撒战争,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,说明：考试针对湖工大学分班，请湖工大有学分要求的同学参加。   其他学校的同学可以自主参加。开卷，总分50，及格标准30分。   以下为考试正文：出新意于_______之中，寄妙理于豪放之外。(苏轼),易,法度,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,《古诗十九首》最早见于_____________《大学人文语文》p-169,易,《文选》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,________的诗风醇厚自然、平淡质朴，是魏晋风度的杰出代表，对后世诗歌产生了重大影响。而他“不为五斗米折腰”的气节，更是哺育了一代又一代的诗人，成为士大夫的精神楷模。《大学人文语文》p172,易,陶渊明,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,《蜀相》是杜甫歌颂他的偶像________的诗篇。杜甫一生的理想就是“致君尧舜上，再使风俗淳”，做贤臣，遇明君，造福天下苍生。他是一代“诗史”，也是真正的醇儒，他的诗歌充满着忧国忧民的忧患意识与热爱天地万物的仁爱精神，是儒家积极入世精神的艺术表现。        蜀相丞相祠堂何处寻，锦官城外柏森森。映阶碧草自春色，隔叶黄鹂空好音。三顾频烦天下计，两朝开济老臣心。出师未捷身先死，长使英雄泪满襟。【小注】首联一问一答，形成浓重的感情氛围，笼罩全篇。颔联勾勒出无限美妙的武侯祠春意盎然的景象，却以“自”，“空”互文表现出浓厚的生命之思，伤逝之感。颈联高度凝练地概括了诸葛亮的一生。尾联咏叹了诸葛亮病死军中功业未成的历史不幸，亦以“英雄”意象开阔地指向千古的仁人志士包括他自己的理想与悲歌：为国为民，大智大勇，许身社稷，志在匡国。,易,诸葛亮,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,“梅妻鹤子”的宋代隐士林逋，有一句梅花诗，千古传诵，被誉为咏梅诗歌的千古绝唱。_________,易,疏影横斜水清浅，暗香浮动月黄昏。,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,《吉檀迦利》是“亚洲第一诗人”_______诗歌创作的高峰，也是最能代表他的思想观念和艺术风格的作品，哲思深刻，文字精雅，气度雍容，作者籍此获得诺贝尔文学奖。《吉檀迦利》可译为“献歌”，是向神敬献的歌，是“生命之歌”，作者以轻快、欢畅的笔调歌唱生命的枯荣、现实生活的欢乐和悲哀，表达了对祖国前途的关怀。194,易,泰戈尔,,,,,,
