目录,题目类型,大题题干,答案解析,难易度,,,,,
,填空题,用五个字概括老子的辩证法：（       ）。小注：钱钟书先生认为这五个字抵得上黑格尔的千言万语。,,易,反者道之动,,,,
,填空题,观乎天文，以察时变。观乎________，以化成天下。《周易·贲卦·彖辞》,,易,人文,,,,
,填空题,子不语____、力、乱、神。《论语·述而》,,易,怪,,,,
,填空题,《周易》三才：古人认为周易八卦的下画象征“____”，中画象征“人”，上画象征“____”。《系辞下》说：“三才之道也。”,,易,地,天,,,
,填空题,离娄之明，公输子之巧，不以______，不能成方圆。《孟子·离娄上》,,易,规矩,,,,
,填空题,它山之石，可以为错。它山之石，___________。《诗经·小雅·鹤鸣》,,易,可以攻玉,,,,
,填空题,人法地，地法天，天法道，道法______。（《老子》第25章),,易,自然,,,,
,填空题,中国传统学术的两大纲:_________之学、___________之学。,,易,心性,治平,,,
,填空题,盈盈一水间，______________________。《古诗十九首》,,易,脉脉不得语,,,,
,填空题,陈子昂与“四杰”等对“______“的追求，使大唐诗歌走向振奋，成为盛唐诗歌的序曲。,,易,风骨,,,,
,填空题,梁漱溟：中国文化最大之偏失，在_______永不被发现。,,易,个人,,,,
,填空题,孙思邈的《__________》是一篇专论医德的旷世名文。作者以赤诚的济世救人之心，对医家提出了应当志成“大医”的殷切期望，着重论述了欲成大医必须解决的两大问题：一是专就医书而言的“精”，二是专就德行而言的“诚”，即医术要精、德行要诚。,,易,大医精诚,,,,
,填空题,史怀泽的《___________》是一部论文集，系统阐述了史怀泽的生命伦理思想。他的伟大在于他把作为人道主义的爱和悲悯，敞开给了我们周围生存着的所有生命。这与中国儒家的“民胞物与”“仁民爱物”，释家的“无缘大慈”、“同体大悲”之心是相通的。,,易,敬畏生命,,,,
,填空题,《我怎样做起小说来》体现了鲁迅的“创作论”，更可贵的是他“_________”、“________”的深厚的热忱，使他的小说蕴藏着巨大的情感力量和深刻的人生内涵与社会内涵。这是民族的，也是世界的。,,易,启蒙主义,为人生,,,
,填空题,人之气质由于天生，本难改变，惟______则可变化气质。——《曾国藩家书》,,易,读书,,,,
,填空题,半亩方塘一鉴开，天光云影共徘徊。问渠那得清如许？为有源头______来。——朱熹《观书有感》,,易,活水,,,,
,填空题,陶渊明千古名句：“____________，悠然见南山。”,,易,采菊东篱下,,,,
,填空题,盖士人读书，第一要______，第二要_______，第三要________。——《曾国藩家书》,,易,有志,有识,有恒,,
,填空题,兴于诗，立于礼，成于（  ）——《论语·泰伯》,,易,乐,,,,
